"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2020,"I",TRUE,"Злочини проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,141,1,0,0,101,6,0,0,0,14,33,36,10,8,21,44,23,34,0,0,100,1,0,0,1
2020,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",29,0,0,0,17,0,0,0,0,1,4,5,5,2,5,10,1,6,0,0,17,0,0,0,0
2020,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",49,0,0,0,36,3,0,0,0,4,7,15,5,5,10,14,10,12,0,0,36,0,0,0,0
2020,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",7,0,0,0,7,0,0,0,0,0,6,1,0,0,2,3,2,2,0,0,7,0,0,0,0
2020,"I",FALSE,"Державна зрада, ст. 111","111",51,1,0,0,38,3,0,0,0,9,14,14,0,1,4,17,8,13,0,0,38,0,0,0,0
2020,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"I",FALSE,"Диверсія, ст. 113","113",4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020,"I",FALSE,"Шпигунство, ст. 114","114",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
2020,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,21253,0,5,0,20113,1385,10,71,328,4786,6856,6015,949,1098,2004,1683,4834,13335,202,59,19976,124,13,1,1
