"Year","Chapter","IsChp","Article","Art","FS27X1","FS27X2","FS27X3","FS27X4","FS27X5","FS27X6","FS27X7","FS27X8"
2016,"I",TRUE,"Правопорушення проти основ національної безпеки України(р. І КК України)",NA,0,NA,0,0,0,NA,0,0
2016,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст.109","109",0,NA,0,0,0,NA,0,0
2016,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст.110","110",0,NA,0,0,0,NA,0,0
2016,"I",FALSE,"Державна зрада, ст.111","111",0,NA,0,0,0,NA,0,0
2016,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст.112","112",0,NA,0,0,0,NA,0,0
2016,"I",FALSE,"Диверсія, ст.113","113",0,NA,0,0,0,NA,0,0
2016,"I",FALSE,"Шпигунство, ст.114","114",0,NA,0,0,0,NA,0,0
2016,"II",TRUE,"Правопорушення проти життя та здоров'я особи(р. ІІ КК України)",NA,0,NA,0,0,0,NA,0,0
2016,"II",FALSE,"Умисне вбивство, ст.115","115",0,NA,0,0,0,NA,0,0
2016,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст.118","118",0,NA,0,0,0,NA,0,0
2016,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст.121","121",0,NA,0,0,0,NA,0,0
2016,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст.122","122",0,NA,0,0,0,NA,0,0
2016,"III",TRUE,"Правопорушення проти волі, честі та гідності особи(р. IІІ КК України)",NA,0,NA,0,0,0,NA,0,0
2016,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст.146","146",0,NA,0,0,0,NA,0,0
2016,"III",FALSE,"Захоплення заручників, ст.147","147",0,NA,0,0,0,NA,0,0
2016,"III",FALSE,"Торгівля людьми або інша незаконна угода щодо передачі людини, ст.149","149",0,NA,0,0,0,NA,0,0
2016,"IV",TRUE,"Правопорушення проти статевої свободи та статевої недоторканості особи (р. IV КК України)",NA,0,NA,0,0,0,NA,0,0
2016,"IV",FALSE,"Згвалтування, ст.152","152",0,NA,0,0,0,NA,0,0
2016,"IV",FALSE,"Насильницьке задоволення статевої пристрасті неприродним способом , ст.153","153",0,NA,0,0,0,NA,0,0
2016,"IV",FALSE,"Розбещення неповнолітніх, ст.156","156",0,NA,0,0,0,NA,0,0
2016,"V",TRUE,"Правопорушення проти виборчих, трудових та інших особистих прав і свобод людини і громадянина(р. V КК України)",NA,0,NA,0,0,0,NA,0,0
2016,"V",FALSE,"Ухилення від сплати аліментів на утримання дітей, ст.164","164",0,NA,0,0,0,NA,0,0
